Nodes, Bi-Links, Ants, AlowedStagnation, Iteration reached, Improvements, Path evaluations, Best cost
1000, 6291, 50, 50, 111, 27, 5601, 5023.0
1000, 6291, 50, 50, 199, 25, 10001, 5125.0
1000, 6291, 50, 50, 255, 23, 12801, 5015.0
1000, 6291, 50, 50, 174, 22, 8751, 5118.0
1000, 6291, 50, 50, 111, 25, 5601, 5039.0
1000, 6291, 50, 50, 199, 25, 10001, 5171.0
1000, 6291, 50, 50, 257, 25, 12901, 5103.0
1000, 6291, 50, 50, 96, 18, 4851, 5027.0
1000, 6291, 50, 50, 123, 27, 6201, 5175.0
1000, 6291, 50, 50, 93, 16, 4701, 5030.0
1000, 6291, 50, 50, 135, 17, 6801, 4991.0
1000, 6291, 50, 50, 120, 19, 6051, 5042.0
1000, 6291, 50, 50, 79, 16, 4001, 5021.0
1000, 6291, 50, 50, 116, 19, 5851, 5083.0
1000, 6291, 50, 50, 92, 19, 4651, 4929.0
1000, 6291, 50, 50, 116, 24, 5851, 5084.0
1000, 6291, 50, 50, 108, 15, 5451, 4981.0
1000, 6291, 50, 50, 111, 13, 5601, 4960.0
1000, 6291, 50, 50, 90, 20, 4551, 4943.0
1000, 6291, 50, 50, 91, 22, 4601, 5098.0
1000, 6291, 50, 50, 183, 19, 9201, 5126.0
1000, 6291, 50, 50, 106, 24, 5351, 5098.0
1000, 6291, 50, 50, 152, 24, 7651, 5079.0
1000, 6291, 50, 50, 94, 19, 4751, 5019.0
1000, 6291, 50, 50, 303, 33, 15201, 5145.0
1000, 6291, 50, 50, 150, 19, 7551, 5013.0
1000, 6291, 50, 50, 192, 24, 9651, 5128.0
1000, 6291, 50, 50, 90, 19, 4551, 5048.0
1000, 6291, 50, 50, 157, 15, 7901, 4982.0
1000, 6291, 50, 50, 251, 21, 12601, 5198.0
