Nodes, Bi-Links, Alowed Stagnation, Total path generations, Failed path generations, Successfull path generations, Straight improvements, Reached stagnation, Path evaluations, Best cost
200, 517, 100, 5241600, 5214944, 26656, 7, 101, 896, 805.0
200, 517, 100, 7901600, 7860764, 40836, 10, 101, 1660, 761.0
200, 517, 100, 4477600, 4454826, 22774, 8, 101, 772, 775.0
200, 517, 100, 4108200, 4087492, 20708, 4, 101, 501, 840.0
200, 517, 100, 2224000, 2212602, 11398, 6, 101, 556, 769.0
200, 517, 100, 3830400, 3810982, 19418, 4, 101, 532, 835.0
200, 517, 100, 2987000, 2971447, 15553, 1, 101, 721, 818.0
200, 517, 100, 6732200, 6698020, 34180, 7, 101, 1037, 820.0
200, 517, 100, 3094000, 3078270, 15730, 5, 101, 520, 862.0
200, 517, 100, 5945800, 5914552, 31248, 6, 101, 1736, 834.0
200, 517, 100, 2938800, 2923948, 14852, 5, 101, 474, 813.0
200, 517, 100, 2480400, 2467881, 12519, 7, 101, 351, 760.0
200, 517, 100, 3348000, 3330888, 17112, 6, 101, 744, 855.0
200, 517, 100, 5181400, 5155294, 26106, 7, 101, 595, 840.0
200, 517, 100, 3248800, 3231770, 17030, 6, 101, 1048, 805.0
200, 517, 100, 6509800, 6476444, 33356, 5, 101, 1345, 798.0
200, 517, 100, 4242000, 4220580, 21420, 9, 101, 630, 805.0
200, 517, 100, 6169600, 6138270, 31330, 9, 101, 964, 860.0
200, 517, 100, 3998400, 3977694, 20706, 6, 101, 952, 885.0
200, 517, 100, 4612800, 4589488, 23312, 7, 101, 744, 785.0
200, 517, 100, 5414400, 5385600, 28800, 10, 101, 2016, 785.0
200, 517, 100, 3919200, 3899328, 19872, 3, 101, 552, 810.0
200, 517, 100, 8736000, 8690640, 45360, 8, 101, 2352, 866.0
200, 517, 100, 6974000, 6938179, 35821, 7, 101, 1585, 843.0
200, 517, 100, 7263000, 7226147, 36853, 4, 101, 1076, 817.0
200, 517, 100, 4054800, 4034340, 20460, 7, 101, 558, 765.0
200, 517, 100, 2560800, 2547588, 13212, 2, 101, 612, 711.0
200, 517, 100, 3921600, 3901820, 19780, 6, 101, 516, 794.0
200, 517, 100, 5726800, 5697754, 29046, 8, 101, 824, 831.0
200, 517, 100, 3799000, 3779874, 19126, 5, 101, 393, 849.0
