Nodes, Bi-Links, Ants, AlowedStagnation, Iteration reached, Improvements, Path evaluations, Best cost
200, 517, 10, 50, 996, 60, 9971, 1164.0
200, 517, 10, 50, 122, 18, 1231, 999.0
200, 517, 10, 50, 325, 34, 3261, 1121.0
200, 517, 10, 50, 241, 29, 2421, 1048.0
200, 517, 10, 50, 439, 36, 4401, 1069.0
200, 517, 10, 50, 388, 34, 3891, 1112.0
200, 517, 10, 50, 240, 23, 2411, 1057.0
200, 517, 10, 50, 274, 33, 2751, 1069.0
200, 517, 10, 50, 329, 33, 3301, 1096.0
200, 517, 10, 50, 285, 34, 2861, 1076.0
200, 517, 10, 50, 257, 28, 2581, 1057.0
200, 517, 10, 50, 507, 45, 5081, 1100.0
200, 517, 10, 50, 304, 27, 3051, 1056.0
200, 517, 10, 50, 455, 40, 4561, 1104.0
200, 517, 10, 50, 461, 40, 4621, 1075.0
200, 517, 10, 50, 326, 27, 3271, 1027.0
200, 517, 10, 50, 377, 37, 3781, 1079.0
200, 517, 10, 50, 468, 45, 4691, 1102.0
200, 517, 10, 50, 456, 39, 4571, 1126.0
200, 517, 10, 50, 390, 35, 3911, 1102.0
200, 517, 10, 50, 576, 42, 5771, 1093.0
200, 517, 10, 50, 340, 26, 3411, 1052.0
200, 517, 10, 50, 399, 33, 4001, 1049.0
200, 517, 10, 50, 284, 26, 2851, 1058.0
200, 517, 10, 50, 637, 55, 6381, 1140.0
200, 517, 10, 50, 142, 19, 1431, 1017.0
200, 517, 10, 50, 222, 24, 2231, 1075.0
200, 517, 10, 50, 484, 45, 4851, 1096.0
200, 517, 10, 50, 775, 56, 7761, 1152.0
200, 517, 10, 50, 276, 32, 2771, 1069.0
