Nodes, Bi-Links, Ants, AlowedStagnation, Iteration reached, Improvements, Path evaluations, Best cost
1000, 6291, 50, 50, 119, 20, 6001, 4983.0
1000, 6291, 50, 50, 91, 18, 4601, 5019.0
1000, 6291, 50, 50, 156, 19, 7851, 4961.0
1000, 6291, 50, 50, 96, 20, 4851, 4988.0
1000, 6291, 50, 50, 174, 22, 8751, 5024.0
1000, 6291, 50, 50, 148, 21, 7451, 5074.0
1000, 6291, 50, 50, 126, 25, 6351, 4998.0
1000, 6291, 50, 50, 131, 24, 6601, 5040.0
1000, 6291, 50, 50, 114, 22, 5751, 5095.0
1000, 6291, 50, 50, 235, 28, 11801, 5087.0
1000, 6291, 50, 50, 123, 19, 6201, 4968.0
1000, 6291, 50, 50, 325, 22, 16301, 5130.0
1000, 6291, 50, 50, 180, 25, 9051, 5047.0
1000, 6291, 50, 50, 404, 31, 20251, 5143.0
1000, 6291, 50, 50, 213, 24, 10701, 5042.0
1000, 6291, 50, 50, 95, 21, 4801, 5030.0
1000, 6291, 50, 50, 146, 20, 7351, 5023.0
1000, 6291, 50, 50, 87, 23, 4401, 5047.0
1000, 6291, 50, 50, 90, 19, 4551, 5045.0
1000, 6291, 50, 50, 91, 22, 4601, 4937.0
1000, 6291, 50, 50, 186, 15, 9351, 5093.0
1000, 6291, 50, 50, 163, 20, 8201, 4948.0
1000, 6291, 50, 50, 250, 27, 12551, 5043.0
1000, 6291, 50, 50, 155, 18, 7801, 4957.0
1000, 6291, 50, 50, 223, 24, 11201, 5069.0
1000, 6291, 50, 50, 133, 19, 6701, 5114.0
1000, 6291, 50, 50, 242, 25, 12151, 5142.0
1000, 6291, 50, 50, 94, 20, 4751, 5002.0
1000, 6291, 50, 50, 78, 20, 3951, 4983.0
1000, 6291, 50, 50, 53, 10, 2701, 4790.0
1000, 6291, 50, 50, 150, 25, 7551, 5171.0
1000, 6291, 50, 50, 202, 22, 10151, 4987.0
1000, 6291, 50, 50, 131, 22, 6601, 4940.0
1000, 6291, 50, 50, 144, 18, 7251, 5067.0
1000, 6291, 50, 50, 93, 22, 4701, 4976.0
1000, 6291, 50, 50, 186, 25, 9351, 5104.0
1000, 6291, 50, 50, 190, 27, 9551, 5077.0
1000, 6291, 50, 50, 93, 25, 4701, 5013.0
1000, 6291, 50, 50, 121, 17, 6101, 5029.0
1000, 6291, 50, 50, 229, 26, 11501, 5102.0
1000, 6291, 50, 50, 87, 16, 4401, 4991.0
1000, 6291, 50, 50, 139, 20, 7001, 5093.0
1000, 6291, 50, 50, 84, 17, 4251, 4970.0
1000, 6291, 50, 50, 107, 25, 5401, 5052.0
1000, 6291, 50, 50, 176, 22, 8851, 5031.0
1000, 6291, 50, 50, 101, 17, 5101, 5110.0
1000, 6291, 50, 50, 195, 23, 9801, 5130.0
1000, 6291, 50, 50, 125, 19, 6301, 5069.0
1000, 6291, 50, 50, 174, 11, 8751, 5037.0
1000, 6291, 50, 50, 243, 22, 12201, 5034.0
