Nodes, Bi-Links, Ants, Iteration reached, AlowedStagnation, Improvements, Best cost
1000, 6291, 10, 244, 50, 16, 4922.0
1000, 6291, 10, 341, 50, 22, 4989.0
1000, 6291, 10, 185, 50, 17, 4959.0
1000, 6291, 10, 236, 50, 15, 4951.0
1000, 6291, 10, 307, 50, 18, 5022.0
1000, 6291, 10, 196, 50, 17, 5000.0
1000, 6291, 10, 275, 50, 16, 5153.0
1000, 6291, 10, 183, 50, 18, 4998.0
1000, 6291, 10, 234, 50, 16, 4999.0
1000, 6291, 10, 263, 50, 20, 5044.0
1000, 6291, 10, 258, 50, 20, 5107.0
1000, 6291, 10, 233, 50, 20, 4995.0
1000, 6291, 10, 146, 50, 14, 4906.0
1000, 6291, 10, 153, 50, 13, 4806.0
1000, 6291, 10, 160, 50, 10, 4793.0
1000, 6291, 10, 222, 50, 16, 4893.0
1000, 6291, 10, 165, 50, 22, 4939.0
1000, 6291, 10, 86, 50, 9, 5008.0
1000, 6291, 10, 180, 50, 16, 4930.0
1000, 6291, 10, 232, 50, 17, 5037.0
1000, 6291, 10, 194, 50, 17, 4915.0
1000, 6291, 10, 303, 50, 23, 5003.0
1000, 6291, 10, 97, 50, 8, 5002.0
1000, 6291, 10, 88, 50, 10, 4778.0
1000, 6291, 10, 342, 50, 18, 4976.0
1000, 6291, 10, 239, 50, 15, 5069.0
1000, 6291, 10, 157, 50, 16, 4855.0
1000, 6291, 10, 130, 50, 13, 4910.0
1000, 6291, 10, 174, 50, 13, 4934.0
1000, 6291, 10, 126, 50, 11, 4957.0
1000, 6291, 10, 77, 50, 11, 4812.0
1000, 6291, 10, 205, 50, 15, 5044.0
1000, 6291, 10, 97, 50, 11, 4846.0
1000, 6291, 10, 163, 50, 19, 4912.0
1000, 6291, 10, 145, 50, 16, 4933.0
1000, 6291, 10, 280, 50, 22, 5108.0
1000, 6291, 10, 332, 50, 18, 5018.0
1000, 6291, 10, 218, 50, 17, 5072.0
1000, 6291, 10, 253, 50, 12, 4927.0
1000, 6291, 10, 110, 50, 14, 4785.0
1000, 6291, 10, 282, 50, 22, 5064.0
1000, 6291, 10, 153, 50, 11, 4855.0
1000, 6291, 10, 268, 50, 20, 5131.0
1000, 6291, 10, 369, 50, 20, 5072.0
1000, 6291, 10, 126, 50, 17, 4928.0
1000, 6291, 10, 171, 50, 15, 4995.0
1000, 6291, 10, 197, 50, 14, 4984.0
1000, 6291, 10, 117, 50, 16, 4835.0
1000, 6291, 10, 208, 50, 18, 4838.0
1000, 6291, 10, 347, 50, 25, 5020.0
